Title,Year,Rating10,WatchedDate
A Monster Calls,2016,8,2023-06-04
Spider-Man: Across the Spider-Verse,2023,10,2023-06-01
Voskhozhdeniye,1977,8,2023-05-28
Death Proof,2007,6,2023-05-27
22 Jump Street,2014,7,2023-05-27
Edge of Tomorrow,2014,8,2023-05-20
Fast X,2023,4,2023-05-20
Guardians of the Galaxy Vol. 3,2023,9,2023-05-06
Baraka,1992,9,2023-04-30
Lawrence of Arabia,1962,9,2023-04-30
The Super Mario Bros. Movie,2023,6,2023-04-22
Razorback,1984,8,2023-04-16
Suzume no Tojimari,2022,7,2023-04-15
The Tracker,2002,5,2023-04-08
Dungeons & Dragons: Honor Among Thieves,2023,7,2023-04-05
Walkabout,1971,10,2023-04-03
Wayne's World,1992,5,2023-04-03
Rabbit-Proof Fence,2002,8,2023-04-01
Ghost Dog: The Way of the Samurai,1999,7,2023-03-29
Metamorfoza,1978,8,2023-03-26
Super Deluxe,2019,9,2023-03-26
John Wick: Chapter 4,2023,             7        ,
Creed III,2023,             7        ,
The Magician's Elephant,2023,             8        ,
65,2023,             8        ,
Shazam! Fury of the Gods,2023,5,2023-03-18
Summer Wars,2009,6,2023-03-14
The Lego Batman Movie,2017,8,2023-03-12
Dallas Buyers Club,2013,8,2023-03-11
Victor Victoria,1982,9,2023-03-01
Aftersun,2022,9,2023-02-27
Cocaine Bear,2023,5,2023-02-26
Million Dollar Baby,2004,6,2023-02-26
Ant-Man and the Wasp: Quantumania,2023,8,2023-02-26
Southpaw,2015,7,2023-02-19
In Bruges,2008,8,2023-02-18
Joe Pera Talks You to Sleep,2016,,2023-02-16
Nuovo cinema Paradiso,1988,9,2023-02-13
Puss in Boots,2011,6,2023-02-11
The Banshees of Inisherin,2022,8,2023-02-06
F9,2021,7,2023-02-05
What's Love Got to Do with It?,2022,8,2023-02-04
The Amazing Maurice,2022,7,2023-02-04
Tár,2022,9,2023-02-02
The Fabelmans,2022,6,2023-02-01
Tekkon Kinkreet,2006,8,2023-01-30
Weekends,2017,             8        ,
Marcel the Shell with Shoes On,2021,             8        ,
The Whale,2022,             8        ,
Babylon,2022,             8        ,
Czarny Czwartek. Janek Wiśniewski padł,2011,6,2023-01-21
Operation Fortune: Ruse de guerre,2023,6,2023-01-21
Puss in Boots: The Last Wish,2022,6,2023-01-14
Komornik,2005,8,2023-01-10
Moonfall,2022,3,2023-01-10
Top Gun,1986,8,2023-01-10
The Breakfast Club,1985,6,2023-01-10
IO,2022,8,2023-01-04
M3GAN,2022,8,2022-12-28
Muriel's Wedding,1994,8,2022-12-23
Bad Boy Bubby,1993,8,2022-12-22
The Bridge on the River Kwai,1957,9,2022-12-22
The Last Wave,1977,8,2022-12-18
300: Rise of an Empire,2014,8,2022-12-14
Avatar: The Way of Water,2022,8,2022-12-14
Mortal Kombat,2021,6,2022-12-12
Violent Night,2022,6,2022-12-08
District 9,2009,7,2022-11-30
The Menu,2022,8,2022-11-24
Strange World,2022,7,2022-11-24
The Mist,2007,8,2022-11-22
Barbarian,2022,7,2022-11-22
You Don't Mess with the Zohan,2008,             6        ,
Erskineville Kings,1999,             8        ,
The Many Saints of Newark,2021,             6        ,
Moonrise Kingdom,2012,9,2022-11-14
Chappie,2015,8,2022-11-09
Blade II,2002,4,2022-11-08
Blade,1998,8,2022-11-08
DC League of Super-Pets,2022,             5        ,
The Suicide Squad,2021,             7        ,
Mars Attacks!,1996,             5        ,
Assault on Precinct 13,1976,7,2022-11-04
Spider-Man: Far From Home,2019,7,2022-11-03
Heojil kyolshim,2022,4,2022-11-01
The Bad Guys,2022,8,2022-10-31
Black Adam,2022,4,2022-10-23
Clueless,1995,7,2022-10-17
21 Jump Street,2012,5,2022-10-16
Day of the Dead,1985,6,2022-10-16
The Curse of Bridge Hollow,2022,,2022-10-14
Spectre,2015,7,2022-10-13
Get Out,2017,6,2022-10-12
Nope,2022,6,2022-10-11
Tengoku to jigoku,1963,8,2022-10-08
Promare,2019,9,2022-09-26
Ticket to Paradise,2022,7,2022-09-22
Seksmisja,1983,             9        ,
Ran,1985,             7        ,
Anchiporuno,2016,             7        ,
Gok-seong,2016,9,2022-09-07
Przesłuchanie,1982,7,2022-09-04
Porno,1989,8,2022-09-04
Nic śmiesznego,1995,7,2022-09-03
Three Thousand Years of Longing,2022,7,2022-09-01
Viskningar och rop,1972,9,2022-08-31
Jôi-uchi: Hairyô tsuma shimatsu,1967,8,2022-08-30
Le Samouraï,1967,7,2022-08-27
Les triplettes de Belleville,2003,7,2022-08-25
Shi,2010,7,2022-08-21
Jao Nok Krajok,2009,6,2022-08-17
Bullet Train,2022,6,2022-08-13
Lake Mungo,2008,5,2022-08-10
Jin-Rō,1999,9,2022-08-09
Dzień świra,2002,8,2022-07-31
Kokoro ga Sakebitagatterun Da,2015,6,2022-07-28
Volver,2006,6,2022-07-27
Mayak ,2006,9,2022-07-24
Hana to Alice Satsujin Jiken,2015,7,2022-07-22
Kizumonogatari III: Reiketsu-hen,2017,6,2022-07-22
Kizumonogatari II: Nekketsu-hen,2016,6,2022-07-21
Kizumonogatari I: Tekketsu-hen,2016,5,2022-07-21
Gekijōban Violet Evergarden,2020,             6        ,
Dług,1999,             7        ,
Tian bian yi duo yun,2005,             8        ,
La Niña santa,2004,7,2022-07-13
Dead Leaves,2004,7,2022-07-09
"Paris, Texas",1984,8,2022-07-08
Starship Troopers,1997,6,2022-07-08
Thor: Love and Thunder,2022,9,2022-07-06
Qian Xi Man Po,2001,6,2022-06-29
Jurassic World Dominion,2022,5,2022-06-28
Elvis,2022,8,2022-06-26
Peul-lan-da-seu-eui Gae,2000,8,2022-06-26
Lightyear,2022,5,2022-06-18
Interceptor,2022,,2022-06-03
Scary Movie,2000,8,2022-05-29
The Babadook,2014,6,2022-05-29
Jackass 4.5,2022,7,2022-05-28
Top Gun: Maverick,2022,8,2022-05-28
Romper Stomper,1992,7,2022-05-26
Everything Everywhere All at Once,2022,7,2022-05-22
The Northman,2022,8,2022-05-22
I’m Thinking of Ending Things,2020,7,2022-05-18
Doctor Strange in the Multiverse of Madness,2022,5,2022-05-09
Pitbull. Ostatni pies,2018,3,2022-05-02
Kler,2018,6,2022-05-02
Drogówka,2013,             8        ,
Układ zamknięty,2013,             7        ,
Film balkonowy,2021,             9        ,
Ucho,1970,9,2022-04-02
X,2022,5,2022-04-02
Wake in Fright,1971,8,2022-03-27
Turning Red,2022,5,2022-03-19
The Batman,2022,6,2022-03-02
Pygmalion,1938,9,2022-02-27
C'mon C'mon,2021,7,2022-02-26
Uncharted,2022,8,2022-02-21
Shichinin no samurai,1954,8,2022-02-20
Licorice Pizza,2021,6,2022-02-19
Bakha satang,1999,7,2022-02-15
Drive My Car,2021,8,2022-02-14
Kimetsu no Yaiba: Mugen Ressha-Hen,2020,6,2022-02-05
Kono Subarashī Sekai ni Shukufuku o! 2: Kono Subarashī Geijutsu ni Shukufuku o!,2017,6,2022-01-19
Āya to Majo,2020,4,2022-01-10
Kyousogiga,2011,8,2022-01-09
L.O.L. Surprise: The Movie,2021,7,2022-01-09
The Mitchells vs. The Machines,2021,8,2022-01-08
The Butterfly Effect,2004,8,2022-01-08
North by Northwest,1959,7,2022-01-08
Colorful,2010,8,2022-01-06
Kono Subarashii Sekai ni Shukufuku o! Kurenai Densetsu,2019,9,2022-01-04
Smultronstället,1957,             8        ,
Hilda and the Mountain King,2021,             6        ,
Il Deserto rosso,1964,             9        ,
Duet,2014,9,2022-01-02
Dear Basketball,2017,7,2022-01-02
Special Delivery,2015,6,2022-01-02
Help,2015,7,2022-01-02
Buggy Night,2014,5,2022-01-02
Rain or Shine,2016,6,2022-01-02
Son of Jaguar,2017,6,2022-01-01
The Dot and the Line: A Romance in Lower Mathematics,1965,8,2022-01-01
Back to the Moon,2018,8,2022-01-01
Orfeu Negro,1959,9,2022-01-01
Det sjunde inseglet,1957,8,2021-12-31
Nóż w wodzie,1961,7,2021-12-31
Lord of the Flies,1963,6,2021-12-31
Dial M for Murder,1954,7,2021-12-31
Nora inu,1949,6,2021-12-30
Dog Day Afternoon,1975,8,2021-12-30
Sayonara no Asa ni Yakusoku no Hana o Kazarō,2018,7,2021-12-29
Iblard Jikan,2007,8,2021-12-29
Brokeback Mountain,2005,7,2021-12-29
The Boy in the Striped Pyjamas,2008,8,2021-12-28
Life of Brian,1979,8,2021-12-27
Don't Look Up,2021,             6        ,
The Matrix Resurrections,2021,             5        ,
The Green Mile,1999,             7        ,
Spider-Man: No Way Home,2021,             7        ,
Faces,1968,9,2021-12-16
Rear Window,1954,8,2021-12-14
"Hiroshima, mon amour",1959,9,2021-12-12
The French Dispatch,2021,8,2021-12-11
Falling Leaves,1912,7,2021-12-07
Shin Evangelion Gekijō-ban :||,2021,5,2021-12-05
Dune,2021,7,2021-12-02
Encanto,2021,6,2021-12-02
Fa yeung nin wa,2000,7,2021-11-28
Goldman v Silverman,2020,6,2021-11-28
Venom: Let There Be Carnage,2021,5,2021-11-27
A Woman Under the Influence,1974,10,2021-11-26
Beau travail,1999,8,2021-11-24
Last Night in Soho,2021,7,2021-11-20
Yi Yi,2000,8,2021-11-18
Storm Boy,1976,7,2021-11-18
No Time to Die,2021,7,2021-11-17
Att döda ett barn,1953,9,2021-11-14
The Big Swallow,1901,,2021-11-14
W sumie moglibyśmy nakręcić jakiś film,2014,5,2021-11-14
Evangelion Shin Gekijō-ban Q Quickening,2012,8,2021-11-10
Evangelion Shin Gekijōban: Ha,2009,8,2021-11-07
The Danish Poet,2006,             6        ,
The Dingles,1988,             6        ,
The Street,1976,             7        ,
Village of Idiots,1999,6,2021-11-07
The Bead Game,1977,7,2021-11-07
Madame Tutli-Putli,2007,8,2021-11-07
Manivald,2017,3,2021-11-07
Blind Vaysha,2016,8,2021-11-07
Wild Life,2011,7,2021-11-07
The End of Pinky,2013,4,2021-11-07
My Grandmother Ironed the King's Shirts,1999,5,2021-11-07
When the Day Breaks,1999,8,2021-11-07
Shang-Chi and the Legend of the Ten Rings,2021,6,2021-11-07
Ron's Gone Wrong,2021,7,2021-11-06
Evangelion Shin Gekijōban: Jo,2007,8,2021-11-04
Josep,2019,7,2021-11-01
La jetée,1962,8,2021-10-31
Le voyage dans la lune,1902,8,2021-10-31
Puparia,2020,7,2021-10-30
The Rescuers,1977,7,2021-10-28
The Royal Tenenbaums,2001,5,2021-10-25
The Rescuers Down Under,1990,6,2021-10-24
The Darjeeling Limited,2007,6,2021-10-22
Rushmore,1998,7,2021-10-22
Treasure Planet,2002,             8        ,
Dinosaur,2000,             5        ,
Black Swan,2010,             6        ,
Edward Scissorhands,1990,             9        ,
(500) Days of Summer,2009,8,2021-10-13
Belle: Ryū to Sobakasu no Hime,2021,4,2021-10-10
James and the Giant Peach,1996,7,2021-10-09
Captain Sparky vs. The Flying Saucers,2013,6,2021-10-09
Frankenweenie,1984,6,2021-10-09
Frankenweenie,2012,8,2021-10-08
Blush,2021,6,2021-10-06
The Black Cauldron,1985,6,2021-10-06
Atlantis: The Lost Empire,2001,7,2021-10-04
22 vs. Earth,2021,             6        ,
Toy Story That Time Forgot,2014,             5        ,
Toy Story of Terror,2013,             6        ,
Finding Dory,2016,             9        ,
The Good Dinosaur,2015,6,2021-10-02
Lamp Life,2020,7,2021-10-02
Burrow,2020,7,2021-10-02
Out,2020,8,2021-10-02
Loop,2020,7,2021-10-02
Us Again,2021,6,2021-10-02
Myth: A Frozen Tale,2019,8,2021-10-02
Once Upon a Snowman,2020,5,2021-10-02
Destino,2003,6,2021-10-02
Super Rhino,2009,             7        ,
Bolt,2008,             5        ,
Free Guy,2021,             6        ,
La vita è bella,1997,9,2021-09-29
Red Dog,2011,5,2021-09-27
Spokój,1976,6,2021-09-26
Krótki dzień pracy,1981,7,2021-09-26
Manchester by the Sea,2016,6,2021-09-25
Portrait de la jeune fille en feu,2019,8,2021-09-25
Fantastic Fungi,2019,5,2021-09-23
The Adventures of Tintin,2011,6,2021-09-23
Venom,2018,3,2021-09-22
Das Boot,1981,8,2021-09-21
Jason and the Argonauts,1963,8,2021-09-20
Silverado,1985,7,2021-09-15
Dancing with the Birds,2019,8,2021-09-11
White Chicks,2004,3,2021-09-03
The Witcher: Nightmare of the Wolf,2021,5,2021-08-30
Airplane!,1980,6,2021-07-09
Rashômon,1950,8,2021-07-04
Personel,1975,8,2021-07-04
Mean Girls,2004,6,2021-07-02
Kung fu,2004,8,2021-07-02
Serpico,1973,8,2021-06-28
Kamera o Tomeru na!,2017,8,2021-06-27
Animal Farm,1954,             7        ,
Przejście podziemne,1973,             6        ,
Ichiban Utsukushiku,1944,             7        ,
Doodlebug,1997,6,2021-06-27
Mr. Incredible and Pals,2005,4,2021-06-26
Frozen II,2019,6,2021-06-26
Cars 3,2017,8,2021-06-26
Kagemusha,1980,8,2021-06-25
Cars 2,2011,8,2021-06-25
Dareka no Manazashi,2013,6,2021-06-25
Z punktu widzenia nocnego portiera,1977,7,2021-06-25
Hoshi no Koe,2002,7,2021-06-24
Cars,2006,7,2021-06-24
Rio,2011,5,2021-06-24
Chung hing sam lam,1994,8,2021-06-23
Zootopia,2016,7,2021-06-23
Nie wiem,1977,8,2021-06-23
Legenda,1975,7,2021-06-23
Moana,2016,9,2021-06-22
Float,2019,7,2021-06-22
Wind,2019,5,2021-06-22
Auntie Edna,2018,7,2021-06-22
Je t'aime,2010,7,2021-06-22
Pierwsza miłość,1974,9,2021-06-21
Egao,2003,8,2021-06-21
Kanojo to Kanojo no Neko,1999,             8        ,
Tōi Sekai,1997,             7        ,
Tangled,2010,             6        ,
Luca,2021,7,2021-06-19
Akahige,1965,7,2021-06-14
Suzumiya Haruhi no Shōshitsu,2010,6,2021-06-10
Życiorys,1975,6,2021-06-09
Podstawy BHP w kopalni miedzi,1972,,2021-06-09
L'homme orchestre,1900,8,2021-06-09
Les Infortunes d'un explorateur,1900,,2021-06-09
La Vengeance du gâte-sauce,1900,,2021-06-09
Tom Whisky ou L'illusioniste toqué,1900,8,2021-06-09
Le Chevalier mystere,1899,8,2021-06-09
Conseil de guerre en séance à Rennes,1899,,2021-06-09
Bagarre entre journalistes,1899,,2021-06-09
Attentat contre maître Labori,1899,,2021-06-09
Entretien de Dreyfus et de sa femme à Rennes,1899,,2021-06-09
L'affaire Dreyfus,1899,,2021-06-09
Suicide du Colonel Henry,1899,,2021-06-09
Mise aux fers de Dreyfus,1899,,2021-06-09
Le Diable au couvent,1899,,2021-06-09
L'Île du diable,1899,,2021-06-09
La Dictée du bordereau,1899,,2021-06-09
Le portrait mystérieux,1899,8,2021-06-09
La Colonne de feu,1899,,2021-06-09
L'Impressionniste fin de siècle,1899,                     ,
La Tentation de Saint-Antoine,1898,                     ,
Un homme de têtes,1898,                     ,
La lune à un mètre,1898,                     ,
Les Aventures de Guillaume Tell,1898,             8        ,
Une partie des cartes,1896,                     ,
Illusions fantasmagoriques,1898,                     ,
Le Magicien,1898,             8        ,
Panorama pris d'un train en marche,1898,                     ,
Visite sous-marine du Maine,1898,                     ,
Après le bal,1897,                     ,
L'Auberge ensorcelée,1897,                     ,
La Prise de Tournavos,1897,                     ,
Le Château hanté,1896,                     ,
Le Cauchemar,1896,                     ,
Escamotage d'une dame au théâtre Robert Houdin,1896,                     ,
Une Nuit terrible,1896,                     ,
Partie de cartes,1897,                     ,
Entre Calais et Douvres,1897,                     ,
The '?' Motorist,1906,                     ,
Return of T.R.H. the Prince and Princess of Wales,1906,                     ,
The Unfortunate policeman,1905,                     ,
Mr. Pecksniff Fetches the Doctor,1904,                     ,
Drat That Boy,1904,                     ,
Buy Your Own Cherries,1904,                     ,
An Extraordinary Cab Accident,1903,                     ,
A Chess Dispute,1903,                     ,
The Kiddies' Cakewalk,1903,                     ,
Kiddies Cakewalk,1903,                     ,
Scrooge; or Marley's Ghost,1901,                     ,
Hammerfest,1903,                     ,
The Delhi Durbar,1903,                     ,
Coronation Durbar at Delhi,1903,                     ,
The Extraordinary Waiter,1902,                     ,
His Only Pair,1902,                     ,
The Magic Sword,1901,             8        ,
Cruella,2021,             6        ,
Peter Rabbit 2: The Runaway,2021,             8        ,
Wrath of Man,2021,             8        ,
The Haunted Curiosity Shop,1901,                     ,
The Deonzo Brothers,1901,                     ,
Artistic Creation,1901,             9        ,
The Waif and the Wizard,1901,                     ,
Undressing Extraordinary,1901,                     ,
La Fée au pigeons,1906,                     ,
L'album merveilleux,1905,                     ,
La fée aux fleurs,1905,                     ,
La Métamorphose du papillon,1904,                     ,
The Countryman and the Cinematograph,1901,                     ,
An Over-Incubated Baby,1901,                     ,
The Cheese Mites,1903,                     ,
His Brave Defender,1900,                     ,
A Railway Collision,1900,                     ,
An Exciting Pillow Fight,1900,                     ,
Entry of the Scots' Guard Into Bloemfontein,1900,                     ,
Cronje's Surrender to Lord Roberts,1900,                     ,
"Tetherball, or Do-Do",1898,                     ,
Army Life,1900,,2021-05-15
"Upside Down, or The Human Flies",1899,8,2021-05-15
Attack on a Piquet,1899,,2021-05-15
A Camp Smithy,1899,,2021-05-15
Come Along Do!,1898,,2021-05-15
Tommy Atkins In The Park,1898,                     ,
Sirdar's Reception at Guildhall,1898,                     ,
A Switchback Railway,1898,                     ,
The Launch of HMS Albion at Blackwall,1898,                     ,
Robbery,1897,                     ,
Cupid at the Washtub,1897,                     ,
Fishermen and Boat at Port Said,1897,                     ,
Women Fetching Water from the Nile,1897,                     ,
Life Guards and Princes North of St Paul's,1897,                     ,
Queen's Carriage and Indian Escort Arriving at St. Paul's,1897,                     ,
Royal Princes in St. Paul's Churchyard,1897,                     ,
Royal Carriage Arriving at St Paul's,1897,                     ,
Dragoons Passing St Paul's,1897,                     ,
Caped Mounted Riflemen Passing St Paul's,1897,                     ,
Royal Carriages Passing Westminster,1897,                     ,
Head of Colonial Procession,1897,                     ,
Head of Procession Including Bluejackets,1897,                     ,
Chirgwin Plays a Scotch Reel,1896,                     ,
Chirgwin in His Humorous Business,1896,                     ,
A Sea Cave Near Lisbon,1896,                     ,
Blackfriars Bridge,1896,                     ,
The Twins' Tea Party,1896,                     ,
Comic Costume Race,1896,                     ,
Royal Train,1896,                     ,
Scene on the Delaware River,1897,                     ,
Hyde Park Bicycling Scene,1896,                     ,
The Derby,1900,                     ,
The Derby,1896,                     ,
The Derby 1895,1895,                     ,
The Arrest of a Bookmaker,1895,                     ,
Écriture à l'envers,1896,                     ,
Le Moustique Récalcitrant,1905,                     ,
La Gare Saint-Lazare,1896,                     ,
La gare,1896,                     ,
Sortie de l'usine Cockeril à Seraing,1899,                     ,
"Marseille, la Canebière",1896,                     ,
Repas des chats,1896,                     ,
"Bethléem, une place",1897,                     ,
Labourage,1896,                     ,
Le Repas fantastique,1900,             8        ,
Le repas fantastique,1902,                     ,
La marmite diabolique,1903,             8        ,
Le Carrousel: Evolution des quadrilles,1903,                     ,
Les saltimbanques,1898,                     ,
Cuirassiers traversant la Saône à la nage,1897,                     ,
"Exercices de ski, I",1904,                     ,
Danse serpentine,1896,                     ,
"Belfast, Queen's Bridge",1897,                     ,
Cavalcade historique en Sardaigne,1899,                     ,
Le Roi et la reine de Roumanie et leur escorte,1896,                     ,
Les Escaliers du Pont de l'Alma,1900,                     ,
Le marchand de marrons,1897,,2021-05-13
A bord du 'Tonkin' - Le saut à la corde,1900,,2021-05-13
"Beyrouth, place des canons",1897,,2021-05-13
Une scène d'hypnotisme II,1898,,2021-05-13
Pont de Westminster,1896,                     ,
Poursuite sur les toits,1898,                     ,
Départ de Jérusalem en chemin de fer,1897,                     ,
Prestidigitateur,1897,                     ,
"Fêtes du couronnement de S.M. le Tsar Nicolas II: Saint-Pétersbourg, rue Tverskaïa",1896,                     ,
Patineur grotesque,1896,                     ,
Intérieur d'une imprimerie (tirage d'une épreuve),1899,                     ,
Descente de la grande pyramide,1897,                     ,
Un Bal d'enfants,1896,                     ,
Le goûter champêtre,1898,                     ,
"Ballet, 'Le carnaval de Venise' II",1897,                     ,
"Belfast, exercices de sauvetage",1897,                     ,
"Carrare, train sortant d'un tunnel",1897,                     ,
Panorama du port d'Alger,1904,                     ,
Berlin: Panoptikum,1896,                     ,
