gameId,polishTitle,originalTitle,year,fullRating,voteCount,voteDate,userRating,favorite
696941,Uncharted 4: Kres Złodzieja,Uncharted 4: A Thief's End,2016,8.92603,17709,2023-10-07,8,nie
611366,Shadow of the Colossus,Wander to Kyozou,2005,8.23224,3337,2023-04-27,,nie
606065,Uncharted 2: Pośród złodziei,Uncharted 2: Among Thieves,2009,8.615,17117,2023-04-23,7,nie
775468,The Last of Us Part II ,The Last of Us Part II ,2020,8.71619,11571,2023-04-19,10,nie
754389,Psychonauts 2,Psychonauts 2,2021,8.1173,503,2021-11-06,8,nie
656008,Cyberpunk 2077,Cyberpunk 2077,2020,8.38666,15797,2021-06-30,5,nie
685638,Quantum Break,Quantum Break,2016,7.05121,1113,2021-06-20,6,nie
767552,Days Gone,Days Gone,2019,8.10077,5081,2021-06-13,6,nie
805468,Shadow of the Tomb Raider,Shadow of the Tomb Raider,2018,7.53783,5736,2021-06-10,,nie
764360,Call of Duty: Infinite Warfare,Call of Duty: Infinite Warfare,2016,6.4143,1552,2021-05-02,6,nie
809074,Forza Horizon 4,Forza Horizon 4,2018,8.31438,2322,2021-03-28,,nie
744332,Horizon Zero Dawn,Horizon Zero Dawn,2017,8.15364,11065,2020-09-09,8,nie
790297,Horizon Zero Dawn: The Frozen Wilds,Horizon Zero Dawn: The Frozen Wilds,2017,8.02298,2393,2020-09-06,9,nie
809088,Just Cause 4,Just Cause 4,2018,5.42883,548,2020-07-10,,nie
627416,Podróż,Journey,2012,8.13316,3522,2020-06-21,8,nie
793925,Manifold Garden,Manifold Garden,2019,7.43478,23,2020-05-26,9,nie
820304,Star Wars Jedi: Upadły zakon,Star Wars Jedi: Fallen Order,2019,7.56509,7190,2020-05-26,7,nie
809079,Doom: Eternal,Doom: Eternal,2020,8.1115,2260,2020-04-17,8,nie
822028,Black Mesa,Black Mesa,2020,8.22563,554,2020-03-31,9,nie
700885,The Stanley Parable,The Stanley Parable,2013,7.80321,1870,2020-03-21,7,nie
815426,Civilization VI: Gathering Storm,Civilization VI: Gathering Storm,2019,7.98315,178,2020-02-18,,nie
809105,Control,Control,2019,7.26702,2850,2020-01-05,8,nie
