gameId,polishTitle,originalTitle,year,fullRating,voteCount
10050170,Animal Well,Animal Well,2024,7.72269,119
798966,The Gardens Between,The Gardens Between,2018,6.62595,131
679021,Kenshi,Kenshi,2018,7.11364,44
809098,Devil May Cry 5,Devil May Cry 5,2019,8.00523,1531
681318,Assassin's Creed IV: Black Flag,Assassin's Creed IV: Black Flag,2013,8.13265,18583
875729,Planet of Lana,Planet of Lana,2023,7.24716,352
608872,Halo 2,Halo 2,2004,7.56108,966
734810,Battlefield 1,Battlefield 1,2016,7.71919,7101
611222,The Neverhood,The Neverhood,1996,8.61728,5777
10014705,High On Life,High On Life,2022,6.75419,537
866786,The Callisto Protocol,The Callisto Protocol,2022,6.51123,1158
10014704,Pentiment,Pentiment,2022,8.16795,518
845888,Untitled Goose Game,Untitled Goose Game,2019,7.19615,571
10010332,Trek to Yomi,Trek to Yomi,2022,6.34753,446
729768,The Talos Principle,The Talos Principle,2014,8.28698,676
667039,Brothers - A Tale of Two Sons,Brothers - A Tale of Two Sons,2013,7.82245,2129
857591,The Eternal Cylinder ,The Eternal Cylinder ,2021,6.22222,18
855790,Kena: Bridge of Spirits,Kena: Bridge of Spirits,2021,7.40779,873
844052,Half-Life: Alyx,Half-Life: Alyx,2020,8.81936,310
816521,Celeste,Celeste,2018,8.15179,560
768397,ECHO,ECHO,2017,6.36364,22
798011,Doki Doki Literature Club!,Doki Doki Literature Club!,2017,7.76283,1189
856778,Shadow Warrior 3,Shadow Warrior 3,2022,6.3,260
784402,Hollow Knight,Hollow Knight,2017,8.65124,1901
822031,Florence,Florence,2018,6.88372,215
619459,Flower,Flower,2009,7.53521,497
688044,Gone Home,Gone Home,2013,6.40921,1173
711070,No Man's Sky,No Man's Sky,2016,6.05389,1336
784009,Disco Elysium,Disco Elysium,2019,8.95969,3275
811012,GRIS,GRIS,2018,7.81284,919
791436,Dead Cells,Dead Cells,2018,7.92005,813
863114,Maquette,Maquette,2021,5.78462,65
832926,Outriders,Outriders,2021,6.73454,388
854347,Paradise Lost,Paradise Lost,2021,5.4661,118
655309,.hack//Fragment,.hack//Fragment,2005,5.5,2
846846,Spiritfarer,Spiritfarer,2020,7.98054,411
686575,Mad Max,Mad Max,2015,7.22277,4067
614451,Advent Rising,Advent Rising,2005,7.16505,103
749757,The Solus Project,The Solus Project,2016,6.51724,29
808476,Someday You'll Return,Someday You'll Return,2020,6.6,25
765735,Mosaic,Mosaic,2019,5.85714,14
711409,Volume,Volume,2015,6.31579,19
748790,LawBreakers,LawBreakers,2017,5.33333,27
699699,Rime,Rime,2017,7.36022,558
749310,Reprisal Universe,Reprisal Universe,2014,6.5,4
768475,Rain World,Rain World,2017,6.98246,57
819821,Moonlighter,Moonlighter,2018,6.70787,267
820317,Sea of Solitude,Sea of Solitude,2019,6.00725,138
620998,Eufloria,Eufloria,2009,7.43077,65
766343,Kathy Rain,Kathy Rain,2016,7.125,184
747212,Lisa,Lisa,2014,8.36765,68
791359,Last Day of June,Last Day of June,2017,7.06757,148
773578,Lost Ember,Lost Ember,2019,6.64103,39
714291,A Story About My Uncle,A Story About My Uncle,2014,6.38785,214
649617,Datura,Datura,2012,5.74627,67
683967,The Bridge,The Bridge,2013,6.34591,159
719792,Year Walk,Year Walk,2013,7.60345,116
799625,Finding Paradise,Finding Paradise,2017,8.27948,229
636047,flOw,flOw,2006,6.36453,203
788191,The Last Night,The Last Night,2026,3,1
752485,The Park,The Park,2015,5.40187,107
769110,Furi,Furi,2016,7.47867,211
790855,Beholder,Beholder,2016,7.40268,596
627227,Zero,Zero,2001,8.01015,197
719269,Monument Valley,Monument Valley,2014,7.9858,352
662399,Rain,Rain,2013,6.4094,149
663132,Papo & Yo,Papo & Yo,2012,7.17073,205
733350,Obduction,Obduction,2016,6.19259,135
607736,Stubbs the Zombie in Rebel Without a Pulse,Stubbs the Zombie in Rebel Without a Pulse,2005,6.64608,842
645622,Call of Duty: Black Ops II,Call of Duty: Black Ops II,2012,7.18607,5471
