movieId,polishTitle,originalTitle,year,fullRating,voteCount,voteDate,userRating,favorite,comment
2,Adwokat diabła,The Devil's Advocate,1997,7.90985,449796,2020-08-20,7,nie,
3,Air Force One,Air Force One,1997,6.36209,42191,2005-08-20,,nie,
6,Anastazja,Anastasia,1997,7.54618,92489,2020-09-29,6,nie,
13,Big Lebowski,The Big Lebowski,1998,7.43369,160008,2014-10-08,5,nie,
15,Blade - Wieczny łowca,Blade,1998,7.03869,118909,2022-11-08,8,nie,
28,Cienka czerwona linia,The Thin Red Line,1998,7.57662,100285,2012-02-10,,nie,
34,Dawno temu w trawie,A Bug's Life,1998,6.8373,81456,2001-07-18,,nie,
36,Desperado,Desperado,1995,7.09324,194838,2012-02-10,8,nie,
51,Flubber,Flubber,1997,5.87396,29674,2003-11-26,,nie,
59,Godziny szczytu,Rush Hour,1998,7.2271,75556,2006-08-18,,nie,
62,Gra,The Game,1997,7.83384,236099,2014-10-12,7,nie,
73,Jackie Brown,Jackie Brown,1997,7.37646,85993,2015-02-05,7,nie,
80,Kiler-ów 2-óch,Kiler-ów 2-óch,1999,7.28719,237527,2003-12-09,,nie,
97,Lepiej być nie może,As Good as It Gets,1997,7.51046,122229,2006-05-08,,nie,
104,Mała syrenka,The Little Mermaid,1989,7.29875,80774,2020-09-24,8,nie,
111,Maska Zorro,The Mask of Zorro,1998,6.88989,80229,2005-05-15,,nie,
129,Negocjator,The Negotiator,1998,7.4889,95533,2012-02-10,7,nie,
134,Obcy: Przebudzenie,Alien: Resurrection,1997,6.9986,104632,2020-07-21,8,nie,
139,Okup,Ransom,1996,7.2573,49716,2006-08-21,,nie,
144,Piąty element,The Fifth Element,1997,7.41434,312453,2012-02-10,8,nie,
164,Ronin,Ronin,1998,7.47442,63615,2021-01-04,6,nie,
175,Stan oblężenia,The Siege,1998,6.69087,23003,2006-10-31,,nie,
178,Szakal,The Jackal,1997,7.04261,44119,2003-05-15,,nie,
179,Szeregowiec Ryan,Saving Private Ryan,1998,8.10716,663478,2012-02-10,,nie,
189,Truman Show,The Truman Show,1998,7.4424,533173,2012-02-10,8,nie,
200,Wysłannik przyszłości,The Postman,1997,6.50387,20134,2006-04-04,,nie,
203,Zabójcza broń 4,Lethal Weapon 4,1998,7.37698,68207,2005-07-19,,nie,
207,Żołnierze kosmosu,Starship Troopers,1997,6.56152,47402,2022-07-08,6,nie,
208,Życie jest piękne,La vita è bella,1997,8.37127,291945,2021-09-29,9,tak,
510,Batman i Robin,Batman & Robin,1997,4.75507,66185,2003-05-16,,nie,
511,Chungking Express,Chung Hing sam lam,1994,7.86201,22234,2021-06-23,8,nie,
512,Clerks - Sprzedawcy,Clerks.,1994,7.48258,58972,2013-11-15,8,nie,
516,Donnie Brasco,Donnie Brasco,1997,7.76097,146273,2018-01-14,7,nie,
517,Dr Dolittle,Doctor Dolittle,1998,6.129,68357,2003-11-26,,nie,
522,Herkules,Hercules,1997,7.55514,129528,2003-06-19,,nie,
525,Gwiezdne wojny V - Imperium kontratakuje,Star Wars: Episode V - The Empire Strikes Back,1980,8.09581,315140,2020-09-14,8,nie,
527,Jaś Fasola: Nadciąga totalny kataklizm,Bean,1997,7.01837,75949,2007-04-20,,nie,
529,Kiler,Kiler,1997,7.73618,469416,2012-02-10,,nie,
534,Marsjanie atakują!,Mars Attacks!,1996,5.47431,127029,2022-11-05,5,nie,
539,Mulan,Mulan,1998,7.73931,172226,2000-06-18,,nie,
547,Gwiezdne wojny VI - Powrót Jedi,Star Wars: Episode VI - Return of the Jedi,1983,8.07602,307087,2020-09-28,6,nie,
555,Tajemnice Los Angeles,L.A. Confidential,1997,7.67315,86036,2014-10-03,8,nie,
582,Kosmiczny mecz,Space Jam,1996,6.94652,150298,2020-10-17,6,nie,
586,Magiczny miecz - Legenda Camelotu,Quest for Camelot,1998,7.27023,11912,2020-10-13,9,nie,
591,Osaczeni,Entrapment,1999,6.98293,39260,2004-03-19,,nie,
613,Tunel,Daylight,1996,6.47341,39870,2004-06-17,,nie,
615,Upadłe anioły,Duo luo tian shi,1995,7.64672,14637,2024-08-07,8,nie,
624,Zagubiona autostrada,Lost Highway,1997,7.55118,81369,2015-01-10,7,nie,
628,Matrix,The Matrix,1999,7.60009,867750,2015-01-17,,tak,
630,Pan Tadeusz,Pan Tadeusz,1999,6.25926,120253,2010-04-18,,nie,
633,101 dalmatyńczyków,101 Dalmatians,1996,6.42342,92728,2003-05-16,,nie,
636,Asteriks i Obeliks kontra Cezar,Astérix et Obélix contre César,1999,6.82504,96026,2005-06-17,,nie,
658,Godzina zemsty,Payback,1999,7.42402,32633,2005-09-23,,nie,
660,Gorączka,Heat,1995,8.11333,179648,2014-10-11,9,nie,
665,Jumanji,Jumanji,1995,6.8549,263627,2012-02-10,,nie,
668,Książę Egiptu,The Prince of Egypt,1998,7.43811,35774,2020-09-23,7,nie,
671,Leon zawodowiec,Léon,1994,8.14702,854073,2020-09-13,8,nie,
677,Mrówka Z,Antz,1998,6.36959,41649,2000-06-23,,nie,
678,Mumia,The Mummy,1999,6.782,178524,2012-02-10,7,nie,
681,Nic śmiesznego,Nic śmiesznego,1995,7.34718,163387,2022-09-03,7,nie,
702,Siedem,Se7en,1995,8.31486,639772,2012-02-12,9,nie,
704,Speed 2: Wyścig z czasem,Speed 2: Cruise Control,1997,5.35407,39455,2005-05-29,,nie,
705,Świąteczna gorączka,Jingle All the Way,1996,5.78076,26273,2006-07-19,,nie,
711,Toy Story,Toy Story,1995,7.46072,200926,1999-06-26,,nie,
714,Wesele Muriel,Muriel's Wedding,1994,6.82134,5004,2022-12-23,8,nie,
719,Zaginiony Świat: Jurassic Park,The Lost World: Jurassic Park,1997,6.85854,100958,2007-05-09,,nie,
727,Taxi,Taxi,1998,7.08264,140361,2025-11-09,7,nie,
732,Bardzo dziki Zachód,Wild Wild West,1999,6.13526,76962,2004-12-09,,nie,
734,Łowca androidów,Blade Runner,1982,7.72073,219759,2019-08-26,9,nie,
