serialId,polishTitle,originalTitle,year,fullRating,voteCount,voteDate,userRating,favorite,comment
10034323,Rycerz siedmiu królestw,A Knight of the Seven Kingdoms,2026,7.88701,30942,2026-03-30,8,nie,
779456,Sukcesja,Succession,2018,8.23261,63790,2025-12-04,9,nie,
717910,Billions,Billions,2016,7.8658,9784,2025-12-01,7,nie,
10050978,The Pitt,The Pitt,2025,8.28023,28302,2025-11-23,8,nie,
10034646,Kono Subarashii Sekai ni Bakuen o!,Kono Subarashii Sekai ni Bakuen o!,2023,6.54128,109,2025-11-17,,nie,
10017027,Sonny Boy,Sonny Boy,2021,7.55963,109,2025-11-12,8,tak,
849739,Planeta doskonała,Perfect Planet,2021,8.29319,382,2025-11-09,8,nie,
849729,Mroźna planeta II,Frozen Planet II,2022,7.88591,149,2025-10-26,8,nie,
640524,Lodowa planeta,Frozen Planet,2011,7.54465,795,2025-10-24,8,nie,
10078583,Lazarus,Lazaro,2025,6.46837,743,2025-10-23,6,nie,
10068127,Dexter: Zmartwychwstanie,Dexter: Resurrection,2025,8.20212,12527,2025-09-19,8,nie,
484439,The Inbetweeners,The Inbetweeners,2008,7.20708,2685,2025-09-17,7,nie,
10074202,Dojrzewanie,Adolescence,2025,7.69439,94019,2025-09-11,8,nie,
862659,Władcy przestworzy,Masters of the Air,2024,7.39043,8004,2025-08-24,7,nie,
10066117,Studio,The Studio,2025,7.96803,13292,2025-08-15,8,nie,
10029337,Scavengers Reign,Scavengers Reign,2023,8.38251,1532,2025-07-31,9,nie,
10053210,Pamiętniki Mordbota,Murderbot,2025,6.60312,3525,2025-06-06,7,nie,
10038044,Frieren. U kresu drogi,Sōsō no Frieren,2023,8.55661,2747,2025-03-16,8,nie,
710945,Selfie,Selfie,2014,6.54864,2169,2025-03-08,7,nie,
427201,Generation Kill: Czas wojny,Generation Kill,2008,7.91332,12575,2025-01-07,8,nie,
10010262,Pingwin,The Penguin,2024,8.03547,49225,2024-09-28,6,nie,
114184,Samuraj Jack,Samurai Jack,2001,7.73472,15101,2024-09-05,9,nie,
