medium,filmwebId,polishTitle,originalTitle,year,userRating,viewDate,comment
film,480762,500 dni miłości,(500) Days of Summer,2009,8,20211013,"Uderza we wszystkie wyświechtane nuty, ale w świetnym stylu i ze szczyptami dosyć ciekawej reżyserii"
film,394625,1001 Nights,1001 Nights,1998,6,20210320,"Są tam niezłe sceny ale nie jest to ani 1001 nocy, ani belladona, ani neo tokyo ani fantasia, na podstawie których ta produkcja się zdecydowanie wzorowała"
film,30701,12 gniewnych ludzi,12 Angry Men,1957,10,20140625,"Dosłownie, egzekucja tego formatu to kino absolutne."
film,536916,120 Seconds to Get Elected,120 Seconds to Get Elected,2006,6,20210104,Bez szału w sumie
film,816980,1917,1917,2019,7,20200201,"Cóż: bohaterskie kino wojenne ale z dipem szamba wojennego. Generalnie ogląda się to nieźle, ale miewa słabe momenty i dziwną inscenizację. Scenografia 20/10."
film,34922,"Za szybcy, za wściekli",2 Fast 2 Furious,2003,5,20231229,Przyjemny ale z czasem robi się bez szału i za ciasno
film,1458,2001: Odyseja kosmiczna,2001: A Space Odyssey,1968,10,20170914,"Biorąc pod uwage, że to film z 1968... niech będzie 10/10, ale ten finał... na wyrost te 10/10 :<"
film,208694,21 Jump Street,21 Jump Street,2012,5,20221016,"Meh, filmik"
film,661776,22 Jump Street,22 Jump Street,2014,7,20230527,"Całkiem śmieszny w porównaniu do 21, nie biorą siebie do końca serio ale jednak starają się coś z tego by wyszło fajnego więc primo :)"
film,873363,22 kontra Ziemia,22 vs. Earth,2021,6,20211004,"ma tam jakieś momenty, ale zawodzi"
film,3494,300 mil do nieba,300 mil do nieba,1989,4,20200919,"Nie podobał mi się scenariusz, wiele linii dialogowych wydawała się sztuczna i prowadziła donikąd"
film,486130,300: Początek imperium,300: Rise of an Empire,2014,8,20221214,"Gigantyczne widowisko, które ogląda się naprawdę dobrze, ze świetnie odegraną choreografią i satysfakcjonującymi scenami"
film,10005986,65,65,2023,8,20230318,"Technicznie dosyć świeży, bez polotu główni bohaterzy ale jest coś w tym całym koncepcie ciekawego i fajnie zrealizowanego"
film,30830,Osiem i pół,8 1/2,1963,7,20210219,"Trochę surrealizmu, mieszania i biegunka dialogowa trzymają się kupy, tylko brakowało mi jakiejś wyrazistej, faktycznej osi wyszła awangarda bez namysłu pomysłu"
film,32358,8 Mila,8 Mile,2002,7,20210107,Ogląda się dobrze
film,8234,O jeden most za daleko,A Bridge Too Far,1977,7,20201019,"Fajna pierwsza godzina, dodaje ciekawej głębi fabularnej i historycznej, ale później robi się z tego zwykły film wojenny, na plus na pewno rozmach"
film,1031,Prawo Bronxu,A Bronx Tale,1993,9,20210501,"Jest coś w tym filmie takiego, że nawet jeśli skala teoretycznie mniejsza, nawet jeśli nie jest do końca gangsterski, ogląda się bardzo dobrze i uderza świetnie"
film,476667,Dom w sercu,A Hometown in Heart,1949,7,20230718,"O ile film to raczej obyczajówka, ma coś w sobie ciekawego, fajną scenografię i reżyserię i coś z tego udało się wykrzesać."
film,121301,Król w Nowym Jorku,A King in New York,1957,9,20201130,"Niby trochę mi się nie podobało tam, ale sporo dosyć ponadczasowej treści tam znalazłem i urzekło mnie sportretowanie nowego jorku ze wszystkimi zawiłościami"
film,714492,Siedem minut po północy,A Monster Calls,2016,8,20230604,"Dobry film o wysokiej jakości wykonania, który szczególnie wyróżnia się jednym z najlepszych zwieńczeń jakie widziałem."
film,105724,Kobieta pod presją,A Woman Under the Influence,1974,10,20211126,"Jeden z tych filmów, które są bardzo dobre, ale obiera kierunek tematyczny, który praktycznie wyczerpuje w pełni - porażające role, wykonanie i dynamika postaci"
film,91394,Paryżanka,A Woman of Paris: A Drama of Fate,1923,6,20201126,"Dosyć średni debiut, mało ciekawy dramat romantyczny, który obrywa przez dużą ilość tradycyjnych dialogów i bajzelem składniowym"
