Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
239775146,Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""1400079276""","=""9781400079278""",0,Vintage International,Paperback,467,2025,2002,,2025/12/29,currently-reading,currently-reading (#6),currently-reading,,,,1,0
6328743,The Informer,Joseph Conrad,"Conrad, Joseph",,"=""1419167278""","=""9781419167270""",4,Kessinger Publishing,Paperback,48,2004,1906,2025/12/18,2025/12/18,,,read,,,,1,0
3496252,The Lagoon (Creative Short Stories),Joseph Conrad,"Conrad, Joseph",,"=""0886823099""","=""9780886823092""",4,Creative Co,Hardcover,32,1990,1897,2025/12/14,2025/12/14,,,read,,,,1,0
2179349,The Brute,Joseph Conrad,"Conrad, Joseph",,"=""1419155504""","=""9781419155505""",3,Kessinger Publishing,Paperback,48,2004,1906,2025/12/12,2025/12/14,,,read,,,,1,0
11933547,Obcy,Albert Camus,"Camus, Albert",Maria Zenowicz,"=""""","=""""",3,Zielona Sowa,Paperback,96,2003,1942,2025/12/10,2025/01/05,,,read,,,,1,0
52520303,Goodnight Punpun Volume 1-7 Collection 7 Books Set By Inio Asano,Inio Asano,"Asano, Inio",,"=""9526538463""","=""9789526538464""",4,Viz LLC,Paperback,2922,,2007,2024/07/22,2024/07/22,,,read,,,,1,0
2484198,Lód,Jacek Dukaj,"Dukaj, Jacek",,"=""8308039855""","=""9788308039854""",0,Wydawnictwo Literackie,Hardcover,1051,2008,2007,,2020/07/01,currently-reading,currently-reading (#5),currently-reading,,,,1,0
10891914,Lalande 21185,Janusz A. Zajdel,"Zajdel, Janusz A.",,"=""""","=""""",0,Nasza Księgarnia,Paperback,232,1966,1966,2025/06/26,2024/08/11,,,read,,,,1,0
33952849,Desire,Haruki Murakami,"Murakami, Haruki",,"=""1784872636""","=""9781784872632""",4,Vintage,Paperback,109,2017,2017,2024/10/26,2024/10/21,,,read,,,,1,0
11297,Norwegian Wood,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""""","=""""",0,Vintage Books,Paperback,296,2000,1987,,2024/10/22,currently-reading,currently-reading (#4),currently-reading,,,,1,0
